Date,Open,High,Low,Close,Adj Close,Volume
2017-03-27,56.099998,56.150002,52.860001,53.200001,48.536911,397735
2017-03-28,53.500000,54.299999,52.860001,53.389999,48.710258,352995
2017-03-29,54.000000,55.810001,54.000000,55.680000,50.799534,514685
2017-03-30,55.230000,55.590000,54.549999,55.130001,50.297745,259539
2017-03-31,55.000000,55.130001,53.320000,54.630001,49.841572,349463
2017-04-03,54.500000,54.740002,53.000000,54.099998,49.358025,233035
2017-04-04,53.990002,55.099998,53.610001,54.000000,49.266788,308387
2017-04-05,54.099998,55.270000,53.990002,54.250000,49.494873,347182
2017-04-06,53.110001,54.430000,52.919998,53.910000,49.184677,286898
2017-04-07,53.540001,54.240002,53.529999,53.900002,49.175556,429299
2017-04-10,54.000000,54.480000,53.200001,54.480000,49.704716,251077
2017-04-11,54.150002,54.320000,51.360001,51.400002,46.894684,519787
2017-04-12,51.400002,52.200001,49.400002,51.950001,47.396477,558611
2017-04-13,52.500000,53.080002,51.840000,52.500000,47.898266,283971
2017-04-18,53.400002,54.439999,52.400002,52.480000,47.880020,483637
2017-04-19,53.450001,53.570000,52.560001,52.810001,48.181095,400471
2017-04-20,53.000000,53.290001,52.549999,52.900002,48.263210,298998
2017-04-21,53.000000,53.250000,51.599998,51.830002,47.286995,453033
2017-04-24,52.590000,54.540001,52.509998,54.000000,49.266788,433471
2017-04-25,54.500000,56.270000,54.049999,56.270000,51.337814,566796
2017-04-26,57.299999,62.180000,57.299999,61.220001,55.853943,1645765
2017-04-27,61.950001,61.990002,59.810001,60.000000,54.740879,599878
2017-04-28,60.000000,60.590000,58.919998,60.490002,55.187931,382349
2017-05-02,60.470001,61.439999,59.669998,60.590000,55.279163,400919
2017-05-04,61.000000,62.000000,58.580002,59.660000,54.430676,581695
2017-05-05,59.660000,59.740002,57.619999,59.320000,54.120483,347845
2017-05-08,59.980000,59.980000,58.439999,59.299999,54.102234,290888
2017-05-09,59.200001,59.470001,58.180000,58.599998,53.463593,370192
2017-05-10,58.500000,59.849998,58.500000,59.560001,54.339443,423007
2017-05-11,59.560001,59.990002,57.770000,58.200001,53.098652,229844
2017-05-12,57.770000,59.279999,57.770000,58.900002,53.737293,174192
2017-05-15,58.900002,59.150002,58.200001,58.849998,53.691677,210506
2017-05-16,58.419998,58.799999,55.799999,55.810001,50.918140,602721
2017-05-17,55.209999,55.560001,53.840000,53.860001,49.139065,690946
2017-05-18,53.200001,54.480000,52.910000,54.000000,49.266788,342619
2017-05-19,54.480000,56.700001,53.610001,56.139999,51.219215,481188
2017-05-22,56.299999,56.959999,55.119999,55.650002,50.772163,391416
2017-05-23,55.310001,55.980000,54.110001,55.200001,50.361610,507504
2017-05-24,54.070000,55.290001,53.770000,54.599998,49.814198,661063
2017-05-25,54.959999,56.189999,54.160000,56.060001,51.146233,284814
2017-05-26,56.200001,56.250000,54.689999,55.750000,50.863400,204285
2017-05-29,55.320000,55.639999,53.529999,54.000000,49.266788,165236
2017-05-30,54.000000,54.700001,53.549999,54.660000,49.868942,166340
2017-05-31,54.040001,54.959999,53.799999,53.820000,49.102562,1041389
2017-06-01,54.040001,54.500000,53.610001,54.200001,49.449265,296503
2017-06-02,54.570000,54.919998,54.119999,54.750000,49.951054,218749
2017-06-05,54.990002,55.209999,54.009998,54.009998,49.275913,360908
2017-06-06,54.099998,56.680000,53.209999,56.490002,51.538536,452502
2017-06-07,56.549999,57.750000,55.650002,55.720001,50.836029,419237
2017-06-08,55.910000,56.380001,55.000000,55.790001,50.899891,254157
2017-06-09,55.889999,56.730000,55.799999,56.000000,51.091488,168284
2017-06-12,56.380001,56.380001,54.619999,54.980000,50.160892,131595
2017-06-13,55.000000,55.599998,54.619999,55.330002,50.480213,361748
2017-06-14,55.520000,55.930000,54.150002,54.150002,49.403645,186310
2017-06-15,54.150002,54.150002,54.150002,54.150002,49.403645,0
2017-06-16,53.990002,54.490002,53.099998,53.139999,48.482170,498060
2017-06-19,53.369999,55.200001,53.299999,55.000000,50.179134,375661
2017-06-20,54.599998,56.480000,54.549999,55.099998,50.270370,651371
2017-06-21,54.919998,56.389999,54.040001,56.349998,51.410805,306231
2017-06-22,56.200001,56.290001,54.919998,55.250000,50.407223,343180
2017-06-23,54.889999,54.910000,53.660000,53.660000,48.956593,280849
2017-06-26,54.049999,55.740002,54.049999,55.000000,50.179134,283891
2017-06-27,55.599998,55.599998,54.480000,54.770000,49.969299,140855
2017-06-28,55.000000,55.000000,53.310001,53.400002,48.719383,347925
2017-06-29,53.509998,54.189999,51.770000,52.040001,47.478588,279425
2017-06-30,52.209999,52.340000,50.340000,51.000000,46.529743,354253
2017-07-03,51.009998,51.860001,50.639999,51.599998,47.077156,305429
2017-07-04,51.599998,52.060001,51.200001,51.700001,47.168388,141903
2017-07-05,51.650002,52.400002,51.500000,52.279999,47.697548,230621
2017-07-06,52.279999,52.680000,51.919998,52.049999,47.487709,166070
2017-07-07,52.049999,52.380001,51.799999,52.099998,47.533329,226046
2017-07-10,52.849998,53.180000,51.900002,52.990002,48.345318,200232
2017-07-11,52.950001,53.099998,52.419998,52.459999,47.861774,179280
2017-07-12,52.799999,53.950001,52.340000,53.799999,49.084320,241025
2017-07-13,53.799999,54.070000,53.410000,54.070000,49.330654,171169
2017-07-14,54.000000,54.099998,53.230000,54.000000,49.266788,224641
2017-07-17,53.980000,54.580002,53.810001,53.910000,49.184677,146705
2017-07-18,54.150002,54.619999,52.560001,53.349998,48.673759,214870
2017-07-19,53.590000,54.009998,52.139999,52.959999,48.317947,225179
2017-07-20,53.240002,53.590000,51.950001,52.000000,47.442097,178078
2017-07-21,52.000000,52.200001,50.599998,51.200001,46.712219,301146
2017-07-24,51.349998,51.349998,50.400002,50.650002,46.210426,157979
2017-07-25,50.599998,50.740002,48.500000,49.020000,44.723297,626372
2017-07-26,49.209999,50.200001,49.209999,49.790001,45.425808,282340
2017-07-27,50.000000,50.049999,49.040001,49.049999,44.750664,195130
2017-07-28,48.980000,49.040001,48.270000,48.770000,44.495213,251660
2017-07-31,48.990002,49.799999,48.509998,48.520000,44.267120,249013
2017-08-01,48.520000,50.450001,48.520000,50.320000,45.909348,420022
2017-08-02,50.720001,51.820000,49.770000,50.450001,46.027954,344189
2017-08-03,50.500000,50.599998,49.630001,50.000000,45.617397,268813
2017-08-04,50.209999,50.470001,49.500000,49.770000,45.407558,243156
