Date,Open,High,Low,Close,Adj Close,Volume
2017-06-23,6630.950195,6780.049805,6550.049805,6698.500000,6360.294922,1732
2017-06-26,6797.950195,7157.750000,6794.649902,6916.899902,6567.667969,1636
2017-06-27,6900.000000,7198.750000,6900.000000,7192.299805,6829.163086,4235
2017-06-28,7159.000000,7282.000000,7108.149902,7200.000000,6836.474121,2053
2017-06-29,7175.000000,7197.950195,7111.200195,7117.049805,6757.712402,1631
2017-06-30,7166.149902,7195.000000,7011.299805,7150.000000,6788.999023,1503
2017-07-03,7150.000000,7169.950195,6953.850098,7065.649902,6708.907715,1833
2017-07-04,7079.899902,7100.000000,6900.299805,6980.000000,6627.582031,904
2017-07-05,7000.649902,7015.350098,6890.000000,6945.000000,6594.349121,1326
2017-07-06,6917.950195,7100.000000,6715.250000,6752.350098,6411.426270,1324
2017-07-07,6800.000000,6949.149902,6750.149902,6840.750000,6495.362793,1175
2017-07-10,6949.950195,6949.950195,6700.000000,6701.000000,6362.668945,944
2017-07-11,6748.000000,6779.850098,6710.000000,6710.000000,6371.214355,390
2017-07-12,6756.149902,6990.000000,6735.750000,6955.000000,6603.844238,2152
2017-07-13,6900.049805,7020.000000,6900.049805,6996.000000,6642.773926,1695
2017-07-14,7120.000000,7200.000000,6820.049805,6959.000000,6607.642578,2343
2017-07-17,7020.000000,7100.750000,6950.000000,6957.899902,6606.598145,2073
2017-07-18,6960.000000,7068.850098,6850.000000,6980.000000,6627.582031,1666
2017-07-19,7000.000000,7139.850098,6973.250000,7040.000000,6684.553223,1474
2017-07-20,7144.850098,7144.850098,6895.399902,6939.000000,6588.651855,2027
2017-07-21,6959.950195,7030.000000,6829.149902,6829.149902,6484.348633,637
2017-07-24,6873.350098,7037.899902,6873.350098,6950.000000,6599.096680,1580
2017-07-25,6928.600098,6965.700195,6880.000000,6950.000000,6599.096680,1259
2017-07-26,6997.000000,7029.000000,6830.049805,7000.000000,6646.572266,3845
2017-07-27,7000.000000,7120.000000,6937.450195,6999.750000,6646.334961,2824
2017-07-28,6999.750000,7019.000000,6850.149902,7013.950195,6659.818359,1078
2017-07-31,6953.000000,7179.899902,6942.000000,7000.000000,6646.572266,2539
2017-08-01,7096.950195,7142.049805,6943.899902,7100.000000,6741.523438,1879
2017-08-02,7125.000000,7159.950195,6979.450195,6979.450195,6627.060059,1286
2017-08-03,6980.100098,7050.000000,6935.000000,6954.750000,6603.606934,878
2017-08-04,6954.049805,7191.850098,6950.049805,7190.000000,6826.979004,1487
2017-08-07,7265.000000,7610.000000,7265.000000,7550.000000,7168.802246,3318
2017-08-08,7550.049805,7719.750000,7539.950195,7699.899902,7311.134766,2808
2017-08-09,7680.000000,7746.799805,7612.299805,7700.000000,7311.229492,1551
2017-08-10,7680.000000,7728.850098,7620.049805,7665.000000,7277.996582,1183
2017-08-11,7630.000000,7670.000000,7451.149902,7550.000000,7168.802246,1449
2017-08-14,7600.000000,7720.000000,7600.000000,7633.500000,7248.086914,866
2017-08-15,7633.500000,7633.500000,7633.500000,7633.500000,7248.086914,0
2017-08-16,7700.000000,7728.600098,7505.049805,7526.850098,7146.821777,1916
2017-08-17,7490.000000,7649.500000,7490.000000,7605.250000,7221.263672,1962
2017-08-18,7650.000000,7660.250000,7500.000000,7649.450195,7263.231934,972
2017-08-21,7659.950195,7714.950195,7600.049805,7680.000000,7292.239258,623
2017-08-22,7674.049805,7770.299805,7638.850098,7667.950195,7280.798340,828
2017-08-23,7668.049805,7739.850098,7580.000000,7620.799805,7236.028320,554
2017-08-24,7650.000000,7910.000000,7650.000000,7910.000000,7510.626953,3004
2017-08-25,7963.350098,8134.500000,7910.149902,8129.700195,7719.234863,2198
2017-08-28,8089.700195,8250.000000,8030.000000,8207.349609,7792.963379,3040
2017-08-29,8159.350098,8388.900391,8159.350098,8310.000000,7890.431152,3340
2017-08-30,8375.000000,8629.599609,8250.000000,8450.000000,8023.362305,3128
2017-08-31,8530.000000,8732.400391,8522.750000,8732.400391,8291.504883,3618
2017-09-01,8733.000000,8797.950195,8515.950195,8575.650391,8176.131836,2618
2017-09-04,8580.049805,8580.049805,8203.000000,8402.200195,8010.762207,1545
2017-09-05,8402.200195,8520.000000,8320.000000,8323.000000,7935.251953,974
2017-09-06,8323.000000,8545.250000,8312.750000,8499.900391,8103.911133,1378
2017-09-07,8488.450195,8630.000000,8477.799805,8570.000000,8170.745117,2388
2017-09-08,8549.000000,8620.000000,8503.599609,8600.000000,8199.347656,1969
2017-09-11,8620.000000,8661.099609,8511.150391,8533.099609,8135.563477,1391
2017-09-12,8647.049805,8980.000000,8604.500000,8899.849609,8485.227539,3543
2017-09-13,8899.849609,9061.750000,8884.099609,8928.799805,8512.829102,11684
2017-09-14,8928.000000,9104.799805,8928.000000,9015.900391,8595.872070,8842
2017-09-15,8981.000000,9049.900391,8665.500000,8665.500000,8261.795898,11472
2017-09-18,8789.000000,8937.150391,8702.049805,8850.000000,8437.700195,1463
2017-09-19,8792.250000,8877.900391,8720.049805,8828.000000,8416.725586,2046
2017-09-20,8799.950195,8880.000000,8635.650391,8770.700195,8362.094727,1748
2017-09-21,8770.700195,8888.000000,8719.650391,8798.000000,8388.123047,1795
2017-09-22,8870.000000,8900.000000,8700.150391,8780.000000,8370.960938,1166
2017-09-25,8800.000000,8882.000000,8563.349609,8599.950195,8199.299805,1268
2017-09-26,8577.349609,8577.349609,8240.099609,8300.000000,7913.323242,1911
2017-09-27,8370.000000,8370.000000,8190.000000,8209.000000,7826.562988,2249
2017-09-28,8200.000000,8450.000000,8087.299805,8107.399902,7729.696289,2806
2017-09-29,8163.649902,8285.000000,8141.799805,8172.049805,7791.334473,1961
2017-10-02,8293.799805,8587.099609,8241.549805,8474.500000,8079.694336,3989
2017-10-03,8530.000000,8581.150391,8325.549805,8581.150391,8181.375488,2947
2017-10-04,8581.200195,8700.000000,8370.000000,8370.000000,7980.062500,1426
2017-10-05,8449.000000,8539.599609,8382.099609,8412.900391,8020.963867,1735
2017-10-06,8370.000000,8390.000000,8131.000000,8289.549805,7903.359863,3019
2017-10-09,8396.950195,8433.599609,8301.000000,8433.599609,8040.699219,636
2017-10-10,8379.950195,8563.750000,8335.000000,8450.000000,8056.334961,2676
2017-10-11,8550.000000,8640.000000,8458.849609,8510.000000,8113.540527,4176
2017-10-12,8530.000000,8566.799805,8411.250000,8411.250000,8019.391113,2338
2017-10-13,8500.000000,8500.000000,8303.250000,8303.250000,7916.421875,481
2017-10-16,8349.000000,8498.099609,8323.049805,8350.000000,7960.994629,1221
2017-10-17,8308.049805,8375.000000,8108.000000,8135.600098,7756.583008,1307
2017-10-18,8135.600098,8241.400391,7953.399902,7960.000000,7589.163086,2107
2017-10-19,7904.750000,8031.100098,7686.600098,7752.350098,7391.187012,3813
2017-10-20,7805.000000,7838.850098,7555.799805,7670.000000,7312.673828,4297
2017-10-23,7670.000000,8000.000000,7588.000000,7992.450195,7620.101563,1826
2017-10-24,7900.000000,8206.000000,7850.000000,8096.450195,7719.256348,1588
2017-10-25,8145.000000,8252.450195,8050.049805,8249.950195,7865.605469,2185
2017-10-26,8217.799805,8376.599609,8145.850098,8300.000000,7913.323242,1174
2017-10-27,8400.000000,8494.950195,8300.099609,8378.299805,7987.976074,1470
2017-10-30,8350.000000,8545.000000,8271.049805,8285.750000,7899.737793,1595
2017-10-31,8396.950195,8620.000000,8348.150391,8573.849609,8174.416016,3507
2017-11-01,8573.849609,8573.849609,8573.849609,8573.849609,8174.416016,0
2017-11-02,8650.000000,8699.000000,8350.000000,8475.000000,8080.170898,2735
2017-11-03,8475.000000,8549.900391,8154.399902,8401.700195,8010.285645,2032
2017-11-06,8510.000000,8548.000000,8080.000000,8450.000000,8056.334961,2031
2017-11-07,8450.000000,8744.150391,8406.099609,8619.650391,8218.082031,1980
2017-11-08,8687.099609,8794.000000,8421.450195,8421.450195,8029.115723,2080
2017-11-09,8427.950195,8428.599609,8155.049805,8255.349609,7870.752930,1717
2017-11-10,8160.000000,8303.849609,8008.750000,8136.750000,7757.679199,1131
2017-11-13,8183.950195,8192.299805,7861.399902,8149.700195,7770.025879,1038
2017-11-14,8150.000000,8196.099609,8008.600098,8117.399902,7739.229980,2696
2017-11-15,8117.399902,8178.700195,7970.250000,8080.000000,7703.572266,1548
2017-11-16,8100.049805,8170.000000,8001.000000,8068.049805,7692.179688,2534
2017-11-17,8025.000000,8136.200195,8025.000000,8102.000000,7724.548340,963
2017-11-20,8104.049805,8199.950195,8050.000000,8100.000000,7722.640625,852
2017-11-21,8199.049805,8249.000000,8050.000000,8150.000000,7770.312012,1302
2017-11-22,8150.000000,8200.000000,8000.000000,8149.500000,7769.834961,3243
2017-11-23,8100.000000,8470.200195,8100.000000,8279.349609,7893.635254,1804
2017-11-24,8279.349609,8370.000000,8220.000000,8270.000000,7884.721191,873
2017-11-27,8293.200195,8505.200195,8293.200195,8470.000000,8075.403320,2143
2017-11-28,8525.500000,8592.349609,8360.450195,8450.000000,8056.334961,3276
2017-11-29,8550.000000,8700.000000,8252.000000,8300.000000,7913.323242,2182
2017-11-30,8311.950195,8500.000000,8173.950195,8173.950195,7793.145996,5100
2017-12-01,8199.000000,8328.549805,8117.049805,8328.549805,7940.543457,2617
2017-12-04,8451.450195,8451.450195,8151.750000,8215.500000,7832.760254,2159
2017-12-05,8220.049805,8403.950195,8220.049805,8310.000000,7922.857910,854
2017-12-06,8296.150391,8379.950195,8126.350098,8139.100098,7759.919922,2265
2017-12-07,8105.000000,8349.950195,8100.049805,8290.000000,7903.789551,2699
2017-12-08,8400.000000,8590.000000,8300.000000,8345.900391,7957.085449,1687
2017-12-11,8425.799805,8539.000000,8340.000000,8449.000000,8055.381836,1067
2017-12-12,8498.950195,8500.000000,8380.549805,8499.000000,8103.053223,1262
2017-12-13,8420.000000,8499.000000,8370.400391,8460.000000,8065.869629,1263
2017-12-14,8497.950195,8838.000000,8434.049805,8838.000000,8426.259766,2519
2017-12-15,8821.549805,8938.400391,8565.250000,8696.099609,8290.969727,6657
2017-12-18,8750.000000,8934.950195,8750.000000,8900.000000,8485.371094,2474
2017-12-19,8898.000000,9100.000000,8802.049805,8965.500000,8547.819336,2565
2017-12-20,9050.000000,9100.000000,8955.150391,8955.150391,8537.952148,1132
2017-12-21,9000.000000,9079.700195,8976.549805,9020.000000,8599.781250,1878
2017-12-22,9050.000000,9050.000000,8949.450195,8949.450195,8532.517578,453
2017-12-25,8949.450195,8949.450195,8949.450195,8949.450195,8532.517578,0
2017-12-26,8949.450195,8949.450195,8949.450195,8949.450195,8532.517578,0
2017-12-27,9099.000000,9100.000000,9027.750000,9062.950195,8640.729492,1113
2017-12-28,9090.000000,9090.000000,8980.000000,9010.000000,8590.247070,1019
2017-12-29,9000.000000,9000.000000,8863.000000,8910.000000,8494.905273,2068
2018-01-01,8910.000000,8910.000000,8910.000000,8910.000000,8494.905273,0
2018-01-02,8910.000000,8910.000000,8910.000000,8910.000000,8494.905273,0
